City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max temp in F,Windspeed
Sinnamary,76,GF,1527517689,93,5.38,-52.96,81.32,11.54
Saldanha,88,PT,1527517689,63,41.42,-6.55,65.48,4.61
Klaksvik,48,FO,1527517690,90,62.23,-6.59,51.35,11.21
Katsuura,100,JP,1527517690,84,33.93,134.5,67.19,6.62
Onokhoy,0,RU,1527517690,66,51.92,108.05,48.92,3.38
Alofi,88,NU,1527517690,100,-19.06,-169.92,78.08,9.98
San Carlos del Zulia,0,VE,1527517691,64,9.0,-71.91,89.96,3.38
La Palma,64,CO,1527517692,92,5.36,-74.39,72.59,2.37
Kenai,20,US,1527517692,74,60.55,-151.26,46.94,5.06
Kodiak,8,US,1527517692,61,39.95,-94.76,87.35,4.61
Sisimiut,68,GL,1527517396,97,66.94,-53.67,29.66,2.37
Awbari,36,LY,1527517693,10,26.59,12.77,101.57,7.63
Kamen-Rybolov,64,RU,1527517693,95,44.75,132.04,57.38,6.73
Barcelos,76,PT,1527517454,71,41.53,-8.62,65.12,3.83
Akropong,64,GH,1527517694,79,5.97,-0.09,84.47,6.96
Tuatapere,0,NZ,1527517694,100,-46.13,167.69,35.87,7.07
Rocha,24,UY,1527517695,74,-34.48,-54.34,72.77,12.77
Chumphon,48,TH,1527517695,83,10.5,99.18,79.97,3.27
Whitecourt,0,CA,1527517696,49,54.14,-115.68,66.2,6.4
Leningradskiy,24,RU,1527517696,79,69.38,178.42,20.12,7.96
Mar del Plata,44,AR,1527517696,85,-46.43,-67.52,47.21,16.8
Luena,0,AO,1527517697,42,-11.78,19.91,77.81,4.72
Les Herbiers,24,FR,1527517697,92,46.87,-1.01,71.15,1.81
Borogontsy,44,RU,1527517697,68,62.67,131.17,49.37,12.88
Adeje,100,NG,1527517698,75,5.68,5.76,85.64,13.22
Posadas,0,PY,1527517698,54,-27.37,-55.89,80.15,5.84
Dingle,56,PH,1527517698,98,11.0,122.67,75.02,3.04
Coquimbo,64,CL,1527517698,100,-29.95,-71.34,57.65,3.71
Kavaratti,92,IN,1527517699,100,10.57,72.64,79.7,29.1
Namatanai,80,PG,1527517699,100,-3.66,152.44,83.12,7.18
Harper,0,US,1527517699,50,30.3,-99.24,85.28,8.41
Iqaluit,92,CA,1527517700,100,63.75,-68.52,29.57,21.39
Rafaela,12,AR,1527517700,65,-31.25,-61.49,79.61,22.39
Bubaque,0,GW,1527517700,91,11.28,-15.83,82.49,11.32
Butaritari,64,KI,1527517700,100,3.07,172.79,80.78,8.19
Salalah,88,OM,1527517701,95,17.01,54.1,83.75,7.07
Hilo,64,US,1527517701,100,19.71,-155.08,74.57,11.43
Piacabucu,76,BR,1527517701,67,-10.41,-36.43,81.77,14.45
Shache,64,CN,1527517701,23,38.42,77.24,64.85,25.3
Barra do Garcas,0,BR,1527517702,47,-15.89,-52.26,84.38,9.86
Westport,88,IE,1527517702,72,53.8,-9.52,68.27,3.71
Port Blair,92,IN,1527517528,96,11.67,92.75,86.9,22.17
Kampot,64,KH,1527517702,95,10.62,104.18,75.92,2.59
Pangnirtung,92,CA,1527517703,94,66.15,-65.72,30.38,20.04
Tres Arroyos,92,AR,1527517703,84,-38.38,-60.28,65.3,10.65
Alta Floresta,0,BR,1527517703,62,-9.87,-56.08,86.0,3.6
Ahuimanu,75,US,1527511980,73,21.44,-157.84,75.2,5.82
Voh,8,NC,1527517704,100,-20.95,164.69,71.78,15.9
Ambon,24,FR,1527517704,84,47.55,-2.56,71.42,8.3
West Bay,24,GB,1527517705,85,50.71,-2.76,72.59,5.06
Carnarvon,48,ZA,1527517705,25,-30.97,22.13,55.67,16.02
Ponta Delgada,0,PT,1527517706,100,37.73,-25.67,64.4,8.3
Uvalde,0,US,1527517706,49,29.21,-99.79,84.2,6.62
Souillac,56,FR,1527517706,77,45.6,-0.6,72.95,10.87
Port Alfred,80,ZA,1527517706,70,-33.59,26.89,71.78,10.87
Abha,0,SA,1527517707,17,18.22,42.5,90.05,1.7
Beringovskiy,92,RU,1527517707,94,63.05,179.32,33.17,11.21
Necochea,80,AR,1527517708,98,-38.55,-58.74,62.33,11.32
Quatre Cocos,12,MU,1527517708,79,-20.21,57.76,74.66,4.38
Ornskoldsvik,0,SE,1527517708,76,63.29,18.72,54.05,10.65
Yenagoa,88,NG,1527517709,82,4.92,6.26,83.3,11.65
Codrington,76,AU,1527517709,98,-28.95,153.24,56.39,2.71
Laguna,0,MX,1527517710,18,27.52,-110.01,83.3,3.15
Brunsbuttel,0,DE,1527517710,66,53.9,9.15,75.02,7.29
Puerto Colombia,12,CO,1527517710,90,10.99,-74.96,86.27,2.37
Kopychyntsi,0,UA,1527517710,42,49.11,25.91,74.21,8.08
Ilulissat,0,GL,1527517711,88,69.22,-51.1,35.33,6.4
Liverpool,0,GB,1527517523,70,53.41,-2.98,73.94,4.61
Kutum,0,SD,1527517711,16,14.2,24.66,95.18,6.62
San Pedro de Ycuamandiyu,0,PY,1527517498,50,-24.09,-57.08,83.12,9.42
Torbay,12,CA,1527517712,74,47.66,-52.73,47.84,6.17
Orlik,0,RU,1527517712,76,52.51,99.83,30.74,1.81
Guarapari,88,BR,1527517712,100,-20.67,-40.5,73.4,10.98
Paso de los Toros,64,UY,1527517712,73,-32.81,-56.52,74.84,17.13
Beyneu,8,KZ,1527517712,11,45.32,55.19,75.47,6.17
Okhotsk,92,RU,1527517713,100,59.36,143.24,35.15,5.73
Egvekinot,20,RU,1527517713,94,66.32,-179.17,29.12,3.15
Hamilton,0,CA,1527517131,75,43.26,-79.87,76.28,3.71
Solnechnyy,44,RU,1527517714,55,50.72,136.64,65.48,4.94
Terrak,80,NO,1527517714,25,65.09,12.37,72.32,4.27
Husavik,0,CA,1527517714,71,50.56,-96.99,65.84,5.39
Kaitangata,24,NZ,1527517715,73,-46.28,169.85,34.25,2.48
Ouallam,68,NE,1527517715,26,14.32,2.08,104.54,4.72
Ushtobe,0,KZ,1527517715,43,45.25,77.98,50.0,7.74
Xining,80,CN,1527517540,67,36.62,101.77,42.98,2.71
Clinton,1,US,1527515700,65,41.84,-90.19,82.4,3.94
Fagernes,88,NO,1527517716,48,60.99,9.24,59.36,2.37
Mammaste,0,EE,1527517717,42,58.07,27.05,71.6,8.08
Inhambane,0,MZ,1527517717,88,-23.87,35.38,74.3,7.63
Fairbanks,0,US,1527517679,62,64.84,-147.72,46.58,6.85
Sebina,100,BW,1527517717,31,-20.83,27.22,78.26,7.52
Mahudha,0,IN,1527517718,27,22.82,72.94,99.5,10.98
Luwuk,80,ID,1527517746,100,-0.95,122.79,75.56,2.71
Hanmer Springs,92,NZ,1527517719,100,-42.52,172.83,34.16,2.93
Zhaozhou,92,CN,1527517719,92,45.71,125.27,56.3,15.9
Bilma,0,NE,1527517720,11,18.69,12.92,104.81,5.06
Houma,92,CN,1527517720,79,35.63,111.36,61.07,1.81
Madaoua,0,NE,1527517720,40,14.07,5.96,99.95,3.94
Lewistown,0,US,1527517612,86,40.39,-90.15,85.37,4.38
Sept-Iles,92,CA,1527517465,100,50.2,-66.38,43.52,6.29
Tura,32,IN,1527517721,92,25.52,90.21,75.74,8.63
Imeni Morozova,0,RU,1527517721,43,59.98,31.04,66.02,3.38
Ribeira Grande,92,PT,1527517721,99,38.52,-28.7,65.93,14.12
Acajutla,48,SV,1527517722,97,13.59,-89.83,79.34,2.59
Viking,0,CA,1527517722,32,53.1,-111.78,71.51,14.23
Luderitz,0,NA,1527517722,87,-26.65,15.16,59.9,6.4
Natal,76,BR,1527517723,83,-5.81,-35.21,81.05,12.88
Sao Filipe,0,CV,1527517723,91,14.9,-24.5,73.4,17.58
Aykhal,0,RU,1527517723,68,65.95,111.51,29.03,4.72
Salamanca,76,ES,1527517596,100,40.97,-5.66,58.55,2.37
Tessalit,56,ML,1527517724,12,20.2,1.01,109.4,4.72
Paso de Carrasco,48,UY,1527517724,74,-34.86,-56.05,71.78,17.58
Fortuna,80,ES,1527517725,38,38.18,-1.13,76.55,3.94
Puerto del Rosario,0,ES,1527517725,80,28.5,-13.86,68.27,14.9
Gat,0,SN,1527517726,50,14.69,-16.54,89.87,7.74
La Trinitaria,8,MX,1527517726,74,16.12,-92.05,72.05,2.37
Yerbogachen,100,RU,1527517726,100,61.28,108.01,42.08,6.06
Yingcheng,92,CN,1527517726,78,30.93,113.57,72.32,2.59
Bredasdorp,64,ZA,1527517727,96,-34.53,20.04,60.35,26.31
Fairhope,48,US,1527517727,84,30.52,-87.9,76.91,12.77
Tairua,0,NZ,1527517727,74,-37.02,175.85,44.15,6.4
Itarema,24,BR,1527517728,86,-2.92,-39.92,84.92,12.44
Havre,0,US,1527517728,49,48.55,-109.68,71.6,8.41
Tommot,48,RU,1527517728,83,58.97,126.27,56.12,7.4
Faanui,12,PF,1527517729,100,-16.48,-151.75,80.42,12.44
Honavar,92,IN,1527517729,100,14.28,74.45,77.0,1.7
Nichinan,92,JP,1527517729,100,31.65,131.31,68.72,7.96
Lafiagi,8,NG,1527517730,75,8.85,5.42,91.85,4.38
Lulea,0,SE,1527517730,70,65.58,22.15,56.75,17.81
Bambui,80,CM,1527517730,98,6.01,10.23,68.72,1.7
Anadyr,32,RU,1527517730,93,64.73,177.51,27.5,9.75
Yarmouth,24,GB,1527517731,88,50.71,-1.5,73.67,3.94
Mildura,20,AU,1527517731,96,-34.18,142.16,57.65,15.23
Aswan,48,EG,1527517731,12,24.09,32.9,105.62,10.31
Katrineholm,0,SE,1527517732,27,59.0,16.21,71.42,7.52
Goiatuba,0,BR,1527517732,51,-18.02,-49.36,77.9,11.65
Hualmay,24,PE,1527517732,79,-11.1,-77.61,67.82,3.27
Waipawa,92,NZ,1527517732,91,-39.94,176.59,44.96,13.44
Victoria,88,BN,1527517733,100,5.28,115.24,78.17,7.74
Vestmannaeyjar,24,IS,1527517736,90,63.44,-20.27,48.02,8.75
Constitucion,0,MX,1527517736,20,23.99,-104.67,78.08,1.48
Ziro,80,IN,1527517737,97,27.54,93.82,60.08,1.59
Maceio,92,BR,1527517737,91,-9.67,-35.74,78.17,11.77
Altus,1,US,1527511980,83,34.64,-99.33,75.2,10.29
Salinas,1,US,1527516900,76,36.67,-121.66,57.2,1.14
Antigonish,8,CA,1527517632,85,45.62,-61.99,54.68,12.44
Valdivia,100,CL,1527517738,98,-39.81,-73.25,51.35,6.51
Nsunga,0,TZ,1527517738,56,-1.13,31.39,76.01,6.06
Caravelas,88,BR,1527517739,100,-17.73,-39.27,75.65,17.47
Zarya,0,RU,1527517739,29,45.67,39.64,79.7,15.79
Murray Bridge,36,AU,1527517739,94,-35.12,139.28,57.38,24.07
Danane,92,CI,1527517740,100,7.26,-8.15,77.18,3.6
San-Pedro,44,CI,1527517740,100,4.75,-6.64,79.97,6.17
Kamina,0,CD,1527517740,30,-8.74,25.0,86.72,9.86
Totma,44,RU,1527517740,46,59.98,42.76,56.12,14.23
Kearney,68,US,1527517733,57,40.7,-99.08,80.24,8.63
Clyde River,88,CA,1527517741,100,70.47,-68.59,24.8,6.85
Nicoya,92,CR,1527517741,99,10.15,-85.45,77.9,3.71
Murliganj,44,IN,1527517742,81,25.9,86.99,77.36,12.1
Marevo,36,BA,1527517742,63,43.57,18.7,69.98,2.59
Labuhan,68,ID,1527517742,95,-2.54,115.51,74.12,1.92
Tabuk,32,PH,1527517743,91,17.41,121.44,69.08,1.7
Erdenet,0,MN,1527517743,70,49.03,104.04,49.64,4.27
Nemuro,0,JP,1527517743,86,43.32,145.57,49.19,13.33
Ryotsu,0,JP,1527517493,94,38.08,138.43,60.89,6.51
Sohag,0,EG,1527517743,23,26.55,31.7,94.82,8.86
Riyadh,0,SA,1527517744,11,24.63,46.72,97.61,8.41
Lata,48,IN,1527517744,54,30.78,78.62,59.9,1.14
Matelica,32,IT,1527517744,79,43.26,13.01,72.5,0.92
Longjiang,44,CN,1527517744,76,47.33,123.18,56.66,11.99
Achim,0,DE,1527517745,54,52.06,10.61,83.75,8.75
Upernavik,56,GL,1527517745,100,72.79,-56.15,27.77,2.71
Ixtapa,8,MX,1527517746,76,20.71,-105.21,77.45,1.59
Tiebissou,56,CI,1527517746,93,7.16,-5.23,81.05,6.4
Lompoc,90,US,1527512100,93,34.64,-120.46,51.8,3.36
Samos,0,TR,1527517746,67,37.76,26.97,80.15,14.0
Sitka,48,US,1527517747,53,37.17,-99.65,82.76,15.23
Taltal,0,CL,1527517747,80,-25.41,-70.49,62.42,3.38
Comodoro Rivadavia,0,AR,1527517690,85,-45.87,-67.48,53.24,26.98
Zyryanka,0,RU,1527517748,52,65.73,150.89,40.55,7.63
Hasaki,80,JP,1527517748,93,35.73,140.83,68.99,13.11
Tarbagatay,0,RU,1527517748,61,51.48,107.36,51.53,5.17
Palmer,8,AU,1527517749,80,-34.85,139.16,54.77,18.25
Sadon,48,RU,1527517749,72,42.85,44.0,57.65,0.92
Ugoofaaru,88,MV,1527517749,100,5.67,73.0,83.84,27.31
Catumbela,0,AO,1527517750,48,-12.43,13.55,84.47,2.48
Nahrin,64,AF,1527517750,100,36.06,69.13,54.05,0.92
Richards Bay,0,ZA,1527517750,74,-28.77,32.06,72.68,10.09
Cordele,92,US,1527517750,83,31.96,-83.78,79.52,13.0
Walvis Bay,0,NA,1527517751,98,-22.95,14.51,63.23,14.79
Chuy,8,UY,1527517751,77,-33.69,-53.46,73.4,14.45
Aksu,0,KZ,1527517719,45,52.04,76.93,59.54,8.63
Chifeng,32,CN,1527517751,36,42.27,118.96,56.48,5.17
Buchanan,88,LR,1527517752,99,5.88,-10.05,79.43,5.17
Mombasa,0,KE,1527517752,84,-4.05,39.67,81.5,17.25
Kavieng,80,PG,1527517752,100,-2.57,150.8,83.3,7.18
Arshan,0,YE,1527517753,18,14.32,46.95,90.23,7.4
Biltine,0,TD,1527517753,20,14.53,20.93,101.48,8.75
Coihaique,24,CL,1527517753,96,-45.58,-72.07,38.3,3.71
Plettenberg Bay,44,ZA,1527517753,81,-34.05,23.37,65.84,14.67
Smithers,12,CA,1527517754,58,54.78,-127.17,38.66,3.71
Goderich,0,CA,1527517565,87,43.74,-81.71,71.51,3.71
Tucuman,0,PE,1527517754,67,-17.17,-70.89,67.19,1.92
Nalut,48,LY,1527517754,27,31.86,10.98,95.18,13.56
Vardo,80,US,1527517754,91,39.62,-77.74,68.18,3.38
Kahului,36,US,1527517240,100,20.89,-156.47,69.08,6.29
Narsaq,0,GL,1527517755,89,60.91,-46.05,32.72,1.14
Berdigestyakh,0,RU,1527517755,37,62.1,126.7,46.94,12.77
Turukhansk,64,RU,1527517756,87,65.8,87.96,32.72,10.31
Wentzville,0,US,1527517756,84,38.81,-90.85,84.65,4.38
Kolondieba,12,ML,1527517756,59,11.09,-6.89,91.58,8.52
Ulundi,0,ZA,1527517756,68,-28.29,31.43,65.12,2.15
Kununurra,0,AU,1527517756,44,-15.77,128.74,76.19,10.09
Faya,0,SA,1527517757,13,18.39,42.45,81.95,8.75
Buala,64,SB,1527517757,100,-8.15,159.59,79.07,6.06
Shelburne,0,CA,1527517758,79,44.08,-80.2,78.35,7.74
Strezhevoy,24,RU,1527517758,95,60.73,77.6,43.25,7.85
Tuscaloosa,92,US,1527517598,84,33.21,-87.57,74.75,5.95
Sarkand,36,KZ,1527517759,40,45.41,79.91,50.0,22.5
Urengoy,36,RU,1527517759,94,65.96,78.37,32.9,3.38
Haines Junction,12,CA,1527517759,91,60.75,-137.51,29.39,2.71
Cayenne,92,GF,1527517760,83,4.94,-52.33,81.41,8.86
Porto Torres,68,IT,1527517760,91,40.84,8.4,67.1,7.4
Esperantinopolis,36,BR,1527517753,72,-4.87,-44.71,83.3,4.72
Bambous Virieux,12,MU,1527517760,79,-20.34,57.76,74.66,4.38
Hithadhoo,80,MV,1527517760,100,-0.6,73.08,83.48,20.27
Woodward,56,US,1527517740,54,36.43,-99.39,82.58,17.13
Baringo,44,KE,1527517761,95,0.47,35.97,68.18,0.92
Linao,56,PH,1527517761,87,11.02,124.59,83.12,6.73
Lorengau,48,PG,1527517761,100,-2.02,147.27,83.57,3.71
Pecos,0,US,1527517733,25,31.42,-103.49,86.54,9.08
Mahebourg,12,MU,1527517762,79,-20.41,57.7,74.66,4.38
Anloga,44,GH,1527517763,78,5.79,0.9,85.91,9.64
Rudnogorsk,44,RU,1527517763,39,57.27,103.75,66.92,10.42
Tshela,20,CD,1527517763,66,-4.99,12.94,85.28,5.17
Pitimbu,92,BR,1527517764,100,-7.47,-34.81,77.45,12.33
Mirnyy,0,RU,1527517764,38,56.57,36.46,62.33,12.1
Alice Springs,0,AU,1527517764,47,-23.7,133.88,59.09,6.85
Cururupu,80,BR,1527517764,100,-1.82,-44.87,77.27,4.38
Noyabrsk,76,RU,1527517765,93,63.2,75.45,43.07,3.71
Port Moresby,68,PG,1527517765,95,-9.47,147.16,79.88,24.29
Batemans Bay,0,AU,1527517765,100,-35.71,150.18,46.58,3.94
Messina,44,IT,1527517601,91,38.19,15.55,72.05,3.71
Ati,0,TD,1527517766,20,13.21,18.34,105.62,6.85
Chubbuck,80,US,1527517766,90,42.93,-112.47,53.6,3.94
Qasigiannguit,0,GL,1527517766,88,68.82,-51.19,35.33,6.4
Kruisfontein,12,ZA,1527517767,70,-34.0,24.73,66.92,5.61
Aklavik,68,CA,1527517767,97,68.22,-135.01,26.69,5.61
Semenyih,76,MY,1527517767,95,2.95,101.84,75.02,2.04
Padang,32,ID,1527517767,100,-0.92,100.36,84.11,10.87
Nantucket,80,US,1527517655,96,41.28,-70.1,55.04,13.22
Nizwa,44,OM,1527517768,47,22.93,57.53,86.0,4.16
Danshui,0,CN,1527517768,89,22.81,114.46,82.85,5.95
Zyryanovsk,92,KZ,1527517741,100,49.74,84.27,48.47,2.26
Isla Vista,90,US,1527512100,93,34.41,-119.86,51.8,3.36
Ormara,0,PK,1527517769,54,25.21,64.64,90.5,21.27
Avera,90,US,1527516900,100,33.19,-82.53,73.4,5.82
Bandarbeyla,0,SO,1527517769,86,9.49,50.81,81.77,30.78
Camara de Lobos,48,PT,1527517770,100,32.63,-16.97,64.67,13.22
Burnie,88,AU,1527517770,95,-41.05,145.91,59.72,19.82
Surt,0,LY,1527517770,64,31.21,16.59,78.17,13.11
Valparaiso,0,US,1527517724,55,41.47,-87.06,90.5,4.38
Tomohon,80,ID,1527517770,100,1.33,124.84,73.67,1.7
Kysyl-Syr,0,RU,1527517771,35,63.9,122.77,42.26,13.78
Cherskiy,24,RU,1527517771,75,68.75,161.3,35.06,3.6
Edd,0,ER,1527517771,17,13.93,41.69,99.68,8.08
Port-Gentil,88,GA,1527517772,93,-0.72,8.78,81.05,11.43
Hay River,76,CA,1527517772,79,60.82,-115.79,55.67,3.94
Port Macquarie,32,AU,1527517772,100,-31.43,152.91,59.09,3.94
Honiara,88,SB,1527517772,100,-9.43,159.96,73.85,2.59
Yerofey Pavlovich,0,RU,1527517773,64,53.97,121.97,53.78,2.93
Nandu,48,CN,1527517773,82,31.44,119.33,71.87,3.83
Machico,76,PT,1527517773,100,32.7,-16.77,63.05,13.44
Homer,0,US,1527517773,92,59.64,-151.54,43.52,7.96
Garowe,8,SO,1527517774,29,8.41,48.48,93.56,13.78
Greenville,90,US,1527515580,94,34.85,-82.4,71.6,11.41
Moose Factory,92,CA,1527517774,100,51.26,-80.61,60.98,15.01
Norman Wells,92,CA,1527517774,96,65.28,-126.83,38.57,3.71
Mogadishu,56,SO,1527517590,96,2.04,45.34,81.5,22.5
Ouadda,12,CF,1527517775,75,8.07,22.4,82.13,7.85
Qazvin,0,IR,1527517776,49,36.28,50.01,75.74,3.83
Palaikastron,0,GR,1527517776,94,35.2,26.25,71.87,22.28
Krasnyy Oktyabr,0,RU,1527517776,43,56.12,38.88,59.81,13.33
Grand Gaube,0,MU,1527517777,100,-20.01,57.66,78.44,7.07
Moron,20,VE,1527517777,74,10.49,-68.2,79.79,3.6
Taoudenni,0,ML,1527517777,12,22.68,-3.98,103.64,9.64
Karratha,0,AU,1527517778,32,-20.74,116.85,64.22,11.77
Coxim,0,BR,1527517778,29,-18.5,-54.75,87.8,11.77
Rosarito,80,CO,1527517807,100,4.91,-75.23,65.39,3.49
Mindelo,12,PT,1527517779,95,41.31,-8.72,60.71,19.48
Redmond,64,US,1527517737,88,47.67,-122.12,53.24,4.05
South Lake Tahoe,0,US,1527517613,66,38.93,-119.98,52.07,3.38
